,County,ZIP Code,Percent of ZIP Code in this County
0,Adams,46711,100.0
10,Allen,46741,100.0
40,Bartholomew,47203,100.0
55,Benton,47971,100.0
62,Blackford,47348,99.3
68,Boone,46052,100.0
83,Brown,47448,97.6
87,Carroll,46913,100.0
105,Cass,46988,100.0
108,Clark,47111,100.0
127,Clay,47840,100.0
134,Clinton,46039,100.0
144,Crawford,47116,100.0
153,Daviess,47501,100.0
178,DeKalb,46721,100.0
163,Dearborn,47022,100.0
170,Decatur,47240,97.0
193,Delaware,47303,100.0
210,Dubois,47521,100.0
221,Elkhart,46507,100.0
241,Fayette,47331,96.1
249,Floyd,47150,99.6
255,Fountain,47949,100.0
263,Franklin,47010,100.0
283,Fulton,46975,100.0
288,Gibson,47647,100.0
299,Grant,46928,100.0
308,Greene,47424,100.0
318,Hamilton,46030,100.0
345,Hancock,46140,99.7
351,Harrison,47110,100.0
373,Hendricks,46122,100.0
397,Henry,47362,100.0
408,Howard,46936,100.0
411,Huntington,46750,99.1
419,Jackson,47220,100.0
429,Jasper,46392,100.0
440,Jay,47326,100.0
456,Jefferson,47243,100.0
459,Jennings,47223,100.0
471,Johnson,46106,100.0
483,Knox,47512,100.0
494,Kosciusko,46508,100.0
514,LaGrange,46565,100.0
548,LaPorte,46340,100.0
522,Lake,46303,100.0
565,Lawrence,47446,100.0
570,Madison,46011,100.0
585,Marion,46107,100.0
629,Marshall,46563,99.7
633,Martin,47522,100.0
639,Miami,46914,100.0
649,Monroe,47403,100.0
663,Montgomery,47933,100.0
677,Morgan,46157,100.0
685,Newton,46349,100.0
695,Noble,46701,100.0
713,Ohio,47040,74.8
719,Orange,47452,100.0
725,Owen,47431,100.0
731,Parke,47832,100.0
743,Perry,47514,100.0
758,Pike,47567,100.0
765,Porter,46304,100.0
778,Posey,47612,100.0
792,Pulaski,46996,99.9
797,Putnam,46105,100.0
810,Randolph,47340,100.0
824,Ripley,47023,100.0
833,Rush,46104,100.0
869,Scott,47102,84.1
876,Shelby,46110,100.0
891,Spencer,47531,100.0
849,St. Joseph,46544,100.0
909,Starke,46531,100.0
914,Steuben,46703,100.0
923,Sullivan,47838,100.0
933,Switzerland,47020,100.0
941,Tippecanoe,47901,100.0
959,Tipton,46068,100.0
967,Union,47353,99.9
971,Vanderburgh,47708,100.0
982,Vermillion,47847,100.0
987,Vigo,47802,100.0
1005,Wabash,46941,100.0
1020,Warren,47991,100.0
1026,Warrick,47610,100.0
1040,Washington,47167,100.0
1045,Wayne,47330,100.0
1058,Wells,46731,100.0
1080,White,47929,100.0
1090,Whitley,46725,97.9
